Project,Part ID (s),Lysate 1 location,Lysate 2 location,Substrate,Substrate location,Substrate mwt,Substrate state,Molarity,Instr. for 60 mM,Product,Comments,Product_ID
Tyrosol,6924 +7184,2H5,1E2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,6924 +7186,2H5,1F2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,6924 +7188,2H5,1G2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,6924 +7190,2H5,1H2,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,6924 +7192,2H5,1A3,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,6924 +7194,2H5,1B3,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,1454,1B11,,Tyramine,Chris RNA cupboard,137.2,solid,n/a,60 mM = 82.3 mg in 10 ml 0.1 M HCl,Tyrosol,,Tyrosol
Tyrosol,1454,1B11,,Tyrosine,SBC Chem cupboard,181.2,solid,n/a,60 mM = 108.7 mg in 10 ml 0.1 M HCl,Tyramine,,Tyramine
Mandelate,7410,2A1,,(S)-mandelic acid,TEST shelf/fridge,152.15,solid,n/a,60 mM = 9.1 mg in 1 ml H2O,phenylglyoxylic acid,,phenylglyoxylic acid
Mandelate,7412,2B1,,(S)-mandelic acid,TEST shelf/fridge,152.15,solid,n/a,60 mM = 9.1 mg in 1 ml H2O,phenylglyoxylic acid,,phenylglyoxylic acid
Mandelate,7414,2C1,,(S)-mandelic acid,TEST shelf/fridge,152.15,solid,n/a,60 mM = 9.1 mg in 1 ml H2O,phenylglyoxylic acid,,phenylglyoxylic acid
Mandelate,7416,2D1,,phenylglyoxylic acid,TEST shelf/fridge,150.13,solid,n/a,60 mM = 9.0 mg in 1 ml H2O,(R)-mandelic acid,,(R)-mandelic acid
Mandelate,7418,2E1,,phenylglyoxylic acid,TEST shelf/fridge,150.13,solid,n/a,60 mM = 9.0 mg in 1 ml H2O,(R)-mandelic acid,,(R)-mandelic acid
Mandelate,7420,2F1,,(S)-mandelic acid,TEST shelf/fridge,152.15,solid,n/a,60 mM = 9.1 mg in 1 ml H2O,(R)-mandelic acid,,(R)-mandelic acid
Mandelate,1454,1B11,,(S)-mandelic acid,TEST shelf/fridge,152.15,solid,n/a,60 mM = 9.1 mg in 1 ml H2O,phenylglyoxylic acid,,phenylglyoxylic acid
Mandelate,1454,1B11,,phenylglyoxylic acid,TEST shelf/fridge,150.13,solid,n/a,60 mM = 9.0 mg in 1 ml H2O,(R)-mandelic acid,,(R)-mandelic acid
Isobutene,7433,2D2,,2-oxoisovaleric acid,TEST fridge,116.1,liquid,8.59,60 mM = 69.9 ul in 10 ml EtOH,isobutaraldehyde,,isobutaraldehyde
Isobutene,7435,2E2,,2-oxoisovaleric acid,TEST fridge,116.1,liquid,8.59,60 mM = 69.9 ul in 10 ml EtOH,isobutaraldehyde,,isobutaraldehyde
Isobutene,7437,2F2,,2-oxoisovaleric acid,TEST fridge,116.1,liquid,8.59,60 mM = 69.9 ul in 10 ml EtOH,isobutaraldehyde,,isobutaraldehyde
